Candidate_ID,Requisition_ID,Application_Date,Department,Job_Role,Location,Recruitment_Source,Recruiter,Gender,Age,Experience_Years,Education_Level,Expected_Salary_GBP,Screening_Result,Interview_1_Date,Interview_1_Score,Assessment_Score,Interview_2_Date,Interview_2_Score,Offer_Status,Offer_Date,Offered_Salary_GBP,Candidate_Status,Joining_Date,Days_to_Hire,Hiring_Cost_GBP,Offer_Decline_Reason,Probation_Status,Application_Month,Application_Quarter,Salary_Gap_GBP,Is_Hired,Is_Offer_Extended,Is_Offer_Declined,Reached_Interview1,Reached_Interview2,Passed_Screening
CAN00059,REQ-OPE-2503-033,2025-03-16,Operations,Quality Coordinator,Manchester,Indeed,Jack Wilson,Female,39,4.7,Bachelor's,31500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,238.53,,,2025-03,2025Q1,,0,0,0,0,0,0
CAN00060,REQ-CUS-2512-055,2025-12-04,Customer Service,Customer Experience Executive,Leeds,LinkedIn,Amelia Carter,Female,25,2.6,Bachelor's,34000,Passed,2025-12-16,74.0,62.0,2025-12-21,64.0,Declined,2025-12-23,31000.0,Offer Declined,,,654.67,Notice period,,2025-12,2025Q4,-3000.0,0,1,1,1,1,1
CAN00061,REQ-HR-2501-022,2025-01-11,HR,Recruitment Coordinator,London,Recruitment Agency,Sophie Hughes,Female,36,9.2,Bachelor's,46500,Passed,2025-01-18,61.0,79.0,2025-01-23,59.0,Not Reached,,,Rejected - Final Interview,,,1162.95,,,2025-01,2025Q1,,0,0,0,1,1,1
CAN00062,REQ-SAL-2509-047,2025-09-22,Sales,Account Manager,Liverpool,Indeed,Daniel Evans,Female,21,0.2,A-Level / Equivalent,44500,Passed,2025-09-29,75.0,76.0,2025-10-06,71.0,Not Reached,,,Rejected - Final Interview,,,302.68,,,2025-09,2025Q3,,0,0,0,1,1,1
CAN00063,REQ-FIN-2503-050,2025-03-07,Finance,Finance Analyst,Edinburgh,Employee Referral,Sophie Hughes,Female,27,3.2,Bachelor's,49500,Passed,2025-03-10,61.0,84.0,2025-03-19,93.0,Not Reached,,,Rejected - Final Interview,,,582.86,,,2025-03,2025Q1,,0,0,0,1,1,1
CAN00064,REQ-TEC-2501-013,2025-01-15,Technology,Product Analyst,Liverpool,Company Careers Page,Jack Wilson,Female,20,1.0,Bachelor's,45000,Passed,2025-01-22,73.0,87.0,2025-01-29,82.0,Accepted,2025-02-03,49000.0,Hired,2025-03-29,73.0,1081.02,,Passed,2025-01,2025Q1,4000.0,1,1,0,1,1,1
CAN00065,REQ-CUS-2509-079,2025-09-09,Customer Service,Customer Service Advisor,Bristol,Company Careers Page,Jack Wilson,Male,28,9.0,Diploma,27500,Passed,2025-09-19,56.0,61.0,,,Not Reached,,,Rejected - Interview/Assessment,,,384.22,,,2025-09,2025Q3,,0,0,0,1,0,1
CAN00066,REQ-SAL-2512-062,2025-12-29,Sales,Account Manager,Edinburgh,Employee Referral,Grace Patel,Male,42,5.2,Bachelor's,51000,Passed,2026-01-06,59.0,71.0,,,Not Reached,,,Rejected - Interview/Assessment,,,555.2,,,2025-12,2025Q4,,0,0,0,1,0,1
CAN00067,REQ-CUS-2502-004,2025-02-04,Customer Service,Customer Experience Executive,Leeds,LinkedIn,Amelia Carter,Prefer not to say,35,9.2,Professional Qualification,36500,Passed,2025-02-16,77.0,77.0,2025-02-18,65.0,Not Reached,,,Rejected - Final Interview,,,532.02,,,2025-02,2025Q1,,0,0,0,1,1,1
CAN00068,REQ-OPE-2602-080,2026-02-16,Operations,Quality Coordinator,London,Recruitment Agency,Oliver Bennett,Female,32,1.3,Bachelor's,38000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,1069.87,,,2026-02,2026Q1,,0,0,0,0,0,0
CAN00069,REQ-TEC-2605-031,2026-05-20,Technology,IT Support Engineer,Birmingham,University/Campus,Daniel Evans,Prefer not to say,31,2.6,Bachelor's,34500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,331.83,,,2026-05,2026Q2,,0,0,0,0,0,0
CAN00070,REQ-SAL-2511-060,2025-11-23,Sales,Sales Executive,London,LinkedIn,Amelia Carter,Male,47,2.1,Master's,42000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,164.61,,,2025-11,2025Q4,,0,0,0,0,0,0
CAN00071,REQ-TEC-2507-045,2025-07-05,Technology,IT Support Engineer,Leeds,LinkedIn,Sophie Hughes,Female,44,8.2,Bachelor's,45500,Passed,2025-07-08,82.0,66.0,2025-07-14,65.0,Declined,2025-07-15,40000.0,Offer Declined,,,484.29,Compensation,,2025-07,2025Q3,-5500.0,0,1,1,1,1,1
CAN00072,REQ-OPE-2503-032,2025-03-27,Operations,Operations Executive,Birmingham,Indeed,Jack Wilson,Female,20,1.0,Bachelor's,34500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,177.27,,,2025-03,2025Q1,,0,0,0,0,0,0
CAN00073,REQ-OPE-2603-081,2026-03-14,Operations,Operations Executive,London,Job Fair,Jack Wilson,Male,27,2.9,Bachelor's,38000,Passed,2026-03-24,44.0,48.0,,,Not Reached,,,Rejected - Interview/Assessment,,,586.37,,,2026-03,2026Q1,,0,0,0,1,0,1
CAN00074,REQ-SAL-2505-040,2025-05-31,Sales,Account Manager,Leeds,Employee Referral,Oliver Bennett,Female,37,6.6,Master's,52000,Passed,2025-06-08,84.0,87.0,2025-06-13,69.0,Accepted,2025-06-17,53500.0,Hired,2025-07-11,41.0,1219.59,,Passed,2025-05,2025Q2,1500.0,1,1,0,1,1,1
CAN00075,REQ-TEC-2507-009,2025-07-09,Technology,Cyber Security Analyst,Glasgow,Recruitment Agency,Sophie Hughes,Female,33,2.9,Master's,56500,Passed,2025-07-15,75.0,83.0,2025-07-25,84.0,Accepted,2025-07-28,57500.0,Hired,2025-08-14,36.0,1616.2,,Passed,2025-07,2025Q3,1000.0,1,1,0,1,1,1
CAN00076,REQ-FIN-2605-050,2026-05-05,Finance,Finance Analyst,Manchester,Company Careers Page,Grace Patel,Female,23,1.8,Diploma,37500,Passed,2026-05-17,64.0,80.0,2026-05-22,56.0,Not Reached,,,Rejected - Final Interview,,,245.74,,,2026-05,2026Q2,,0,0,0,1,1,1
CAN00077,REQ-HR-2602-010,2026-02-26,HR,L&D Coordinator,Manchester,Employee Referral,Amelia Carter,Male,34,12.3,Bachelor's,38500,Passed,2026-03-01,71.0,74.0,2026-03-06,74.0,Accepted,2026-03-09,39000.0,Hired,2026-04-11,44.0,907.13,,Not Passed,2026-02,2026Q1,500.0,1,1,0,1,1,1
CAN00078,REQ-TEC-2512-082,2025-12-27,Technology,Data Analyst,Bristol,Indeed,Jack Wilson,Female,36,1.1,Bachelor's,47500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,249.68,,,2025-12,2025Q4,,0,0,0,0,0,0
CAN00079,REQ-MAR-2510-080,2025-10-13,Marketing,Digital Marketing Specialist,Manchester,Indeed,Grace Patel,Male,30,8.4,Master's,43000,Passed,2025-10-17,63.0,61.0,,,Not Reached,,,Rejected - Interview/Assessment,,,372.28,,,2025-10,2025Q4,,0,0,0,1,0,1
CAN00080,REQ-OPE-2606-045,2026-06-17,Operations,Quality Coordinator,Leeds,Indeed,Oliver Bennett,Female,23,3.7,Bachelor's,39500,Passed,2026-06-29,79.0,48.0,,,Not Reached,,,Rejected - Interview/Assessment,,,435.37,,,2026-06,2026Q2,,0,0,0,1,0,1
CAN00081,REQ-CUS-2512-060,2025-12-29,Customer Service,Customer Service Advisor,Glasgow,LinkedIn,Sophie Hughes,Female,25,1.3,Bachelor's,29000,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,140.44,,,2025-12,2025Q4,,0,0,0,0,0,0
CAN00082,REQ-TEC-2512-049,2025-12-15,Technology,Data Analyst,Liverpool,LinkedIn,Amelia Carter,Female,29,8.2,A-Level / Equivalent,51500,Passed,2025-12-20,45.0,65.0,,,Not Reached,,,Rejected - Interview/Assessment,,,379.81,,,2025-12,2025Q4,,0,0,0,1,0,1
CAN00083,REQ-TEC-2607-020,2026-07-28,Technology,IT Support Engineer,Manchester,LinkedIn,Grace Patel,Male,33,6.6,Master's,38500,Rejected,,,,,,Not Reached,,,Rejected - Screening,,,209.85,,,2026-07,2026Q3,,0,0,0,0,0,0
CAN00084,REQ-TEC-2510-041,2025-10-06,Technology,Cyber Security Analyst,Birmingham,LinkedIn,Sophie Hughes,Female,38,0.6,Bachelor's,52000,Passed,2025-10-10,53.0,64.0,,,Not Reached,,,Rejected - Interview/Assessment,,,305.88,,,2025-10,2025Q4,,0,0,0,1,0,1
CAN00085,REQ-TEC-2603-042,2026-03-24,Technology,Cyber Security Analyst,Bristol,LinkedIn,Jack Wilson,Female,22,1.7,Bachelor's,54500,Passed,2026-04-02,82.0,69.0,2026-04-05,72.0,Accepted,2026-04-08,54500.0,Hired,2026-06-02,70.0,959.83,,In Progress,2026-03,2026Q1,0.0,1,1,0,1,1,1
CAN00086,REQ-SAL-2505-058,2025-05-11,Sales,Business Development Executive,London,Company Careers Page,Amelia Carter,Male,28,3.0,Master's,40500,Passed,2025-05-16,86.0,83.0,2025-05-26,89.0,Accepted,2025-05-29,45000.0,Hired,2025-06-23,43.0,555.77,,Not Passed,2025-05,2025Q2,4500.0,1,1,0,1,1,1
